"Fecha " Comportamiento_de_la_accion Diferencia_absoluta_close-high
2021-05-03 BAJA 98.24
2021-05-04 BAJA 44.3198
2021-05-05 BAJA 68.3201
2021-05-06 SUBE 36.3701
2021-05-07 BAJA 27.48
2021-05-10 BAJA 91.8301
2021-05-11 SUBE 87.6299
2021-05-12 BAJA 33.0601
2021-05-13 BAJA 24.0
2021-05-14 SUBE 37.3398
2021-05-17 SUBE 24.46
2021-05-18 BAJA 60.3
2021-05-19 SUBE 36.8
2021-05-20 SUBE 3.28
2021-05-21 BAJA 46.9199
2021-05-24 SUBE 29.49
2021-05-25 BAJA 7.6199
2021-05-26 BAJA 9.4302
2021-05-27 BAJA 25.8899
2021-05-28 BAJA 18.9299
2021-06-01 BAJA 24.8501
2021-06-02 SUBE 10.8899
2021-06-03 BAJA 17.22
2021-06-04 BAJA 5.78
2021-06-07 SUBE 0.6799
2021-06-08 SUBE 41.5
2021-06-09 SUBE 8.2798
2021-06-10 SUBE 67.6399
2021-06-11 BAJA 2.8198
2021-06-14 SUBE 37.04
2021-06-15 BAJA 0.8701
2021-06-16 SUBE 23.25
2021-06-17 SUBE 86.0601
2021-06-18 SUBE 6.9099
2021-06-21 BAJA 22.46
2021-06-22 SUBE 47.3799
2021-06-23 BAJA 1.1799
2021-06-24 BAJA 58.5598
2021-06-25 BAJA 62.54
2021-06-28 SUBE 27.8899
2021-06-29 SUBE 9.3198
2021-06-30 BAJA 0.9001
2021-07-01 BAJA 1.6401
2021-07-02 SUBE 59.3401
2021-07-06 SUBE 145.6299
2021-07-07 BAJA 20.7998
2021-07-08 SUBE 87.8499
2021-07-09 BAJA 3.1799
2021-07-12 BAJA 25.45
2021-07-13 BAJA 24.74
2021-07-14 BAJA 27.1702
2021-07-15 BAJA 63.0
2021-07-16 BAJA 59.6802
2021-07-19 SUBE 17.01
2021-07-20 SUBE 5.8699
2021-07-21 SUBE 8.8201
2021-07-22 SUBE 50.8
2021-07-23 SUBE 16.6399
2021-07-26 SUBE 26.6501
2021-07-27 BAJA 72.1101
2021-07-28 BAJA 3.46
2021-07-29 BAJA 27.8301
2021-07-30 BAJA 20.3599
2021-08-02 BAJA 21.6201
2021-08-03 SUBE 25.52
2021-08-04 BAJA 24.6301
2021-08-05 SUBE 19.77
2021-08-06 BAJA 30.0601
2021-08-09 BAJA 1.74
2021-08-10 BAJA 24.3301
2021-08-11 BAJA 39.3398
2021-08-12 SUBE 13.5
2021-08-13 BAJA 11.7
2021-08-16 SUBE 15.99
2021-08-17 BAJA 35.54
2021-08-18 BAJA 40.77
2021-08-19 BAJA 6.27
2021-08-20 BAJA 3.9202
2021-08-23 SUBE 53.9702
2021-08-24 SUBE 25.78
2021-08-25 BAJA 10.6902
2021-08-26 SUBE 17.0
2021-08-27 SUBE 16.3999
2021-08-30 SUBE 64.1401
2021-08-31 SUBE 45.99
2021-09-01 BAJA 17.3999
2021-09-02 BAJA 31.6399
2021-09-03 SUBE 26.05
2021-09-07 SUBE 31.29
2021-09-08 SUBE 13.8501
2021-09-09 BAJA 41.8601
2021-09-10 BAJA 32.6802
2021-09-13 BAJA 25.6301
2021-09-14 BAJA 25.55
2021-09-15 SUBE 33.27
2021-09-16 SUBE 28.28
2021-09-17 BAJA 25.8899
2021-09-20 BAJA 40.27
2021-09-21 BAJA 31.3701
2021-09-22 SUBE 29.05
2021-09-23 SUBE 35.95
2021-09-24 SUBE 23.51
2021-09-27 SUBE 34.3
2021-09-28 BAJA 41.75
2021-09-29 BAJA 20.99
2021-09-30 BAJA 30.96
2021-10-01 BAJA 5.75
2021-10-04 BAJA 89.6099
2021-10-05 SUBE 16.5
2021-10-06 SUBE 48.48
2021-10-07 SUBE 10.8899
2021-10-08 BAJA 28.3799
2021-10-11 BAJA 28.7
2021-10-12 BAJA 9.6699
2021-10-13 SUBE 14.5701
2021-10-14 BAJA 2.5898
2021-10-15 SUBE 97.6001
2021-10-18 SUBE 58.3799
2021-10-19 SUBE 9.8599
2021-10-20 BAJA 37.5999
2021-10-21 SUBE 20.76
2021-10-22 BAJA 85.45
2021-10-25 BAJA 14.6299
2021-10-26 SUBE 26.5601
2021-10-27 SUBE 4.49
2021-10-28 SUBE 44.47
2021-10-29 SUBE 72.4099
2021-11-01 BAJA 43.6899
2021-11-02 BAJA 2.26
2021-11-03 SUBE 75.0
2021-11-04 SUBE 107.0
2021-11-05 SUBE 41.99
2021-11-08 BAJA 34.26
2021-11-09 SUBE 60.98
2021-11-10 BAJA 81.8201
